Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
trial_P01_T13_B_with_context.MOV,2026-04-17 15:13:40.626,,Media file,player #1:video\trial_P01_T13_B_with_context.MOV,0.0,111.378,183.517,30.000,No focal subject,22.738,non_assembly,Not defined,STATE,12.802,26.837,14.035,video\trial_P01_T13_B_with_context.MOV,384,808,,,,
trial_P01_T13_B_with_context.MOV,2026-04-17 15:13:40.626,,Media file,player #1:video\trial_P01_T13_B_with_context.MOV,0.0,111.378,183.517,30.000,No focal subject,22.738,non_assembly,Not defined,STATE,103.477,107.778,4.301,video\trial_P01_T13_B_with_context.MOV,3103,3232,,,,
trial_P01_T13_B_with_context.MOV,2026-04-17 15:13:40.626,,Media file,player #1:video\trial_P01_T13_B_with_context.MOV,0.0,111.378,183.517,30.000,No focal subject,22.738,non_assembly,Not defined,STATE,119.778,124.180,4.402,video\trial_P01_T13_B_with_context.MOV,3592,3727,,,,
