Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
trial_P01_T06_B_no_context.MOV,2026-04-17 14:52:41.621,,Media file,player #1:video\trial_P01_T06_B_no_context.MOV,0.0,103.777,158.485,30.000,No focal subject,43.004,non_assembly,Not defined,STATE,8.868,17.902,9.034,video\trial_P01_T06_B_no_context.MOV,266,537,,,,
trial_P01_T06_B_no_context.MOV,2026-04-17 14:52:41.621,,Media file,player #1:video\trial_P01_T06_B_no_context.MOV,0.0,103.777,158.485,30.000,No focal subject,43.004,non_assembly,Not defined,STATE,67.773,72.907,5.134,video\trial_P01_T06_B_no_context.MOV,2033,2188,,,,
trial_P01_T06_B_no_context.MOV,2026-04-17 14:52:41.621,,Media file,player #1:video\trial_P01_T06_B_no_context.MOV,0.0,103.777,158.485,30.000,No focal subject,43.004,non_assembly,Not defined,STATE,81.342,97.510,16.168,video\trial_P01_T06_B_no_context.MOV,2440,2925,,,,
trial_P01_T06_B_no_context.MOV,2026-04-17 14:52:41.621,,Media file,player #1:video\trial_P01_T06_B_no_context.MOV,0.0,103.777,158.485,30.000,No focal subject,43.004,non_assembly,Not defined,STATE,99.977,112.645,12.668,video\trial_P01_T06_B_no_context.MOV,2999,3379,,,,
