Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
trial_P01_T12_B_with_context.MOV,2026-04-17 15:10:03.263,,Media file,player #1:video\trial_P01_T12_B_with_context.MOV,0.0,199.920,272.193,30.000,No focal subject,104.612,non_assembly,Not defined,STATE,16.102,35.970,19.868,video\trial_P01_T12_B_with_context.MOV,486,1081,,,,
trial_P01_T12_B_with_context.MOV,2026-04-17 15:10:03.263,,Media file,player #1:video\trial_P01_T12_B_with_context.MOV,0.0,199.920,272.193,30.000,No focal subject,104.612,non_assembly,Not defined,STATE,86.075,90.677,4.602,video\trial_P01_T12_B_with_context.MOV,2582,2720,,,,
trial_P01_T12_B_with_context.MOV,2026-04-17 15:10:03.263,,Media file,player #1:video\trial_P01_T12_B_with_context.MOV,0.0,199.920,272.193,30.000,No focal subject,104.612,non_assembly,Not defined,STATE,112.512,126.747,14.235,video\trial_P01_T12_B_with_context.MOV,3375,3802,,,,
trial_P01_T12_B_with_context.MOV,2026-04-17 15:10:03.263,,Media file,player #1:video\trial_P01_T12_B_with_context.MOV,0.0,199.920,272.193,30.000,No focal subject,104.612,non_assembly,Not defined,STATE,150.115,216.022,65.907,video\trial_P01_T12_B_with_context.MOV,4502,6479,,,,
