Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
trial_P01_T10_B_with_context.MOV,2026-04-17 15:03:35.909,,Media file,player #1:video\trial_P01_T10_B_with_context.MOV,0.0,246.358,263.227,30.000,No focal subject,95.974,non_assembly,Not defined,STATE,13.102,37.403,24.301,video\trial_P01_T10_B_with_context.MOV,393,1122,,,,
trial_P01_T10_B_with_context.MOV,2026-04-17 15:03:35.909,,Media file,player #1:video\trial_P01_T10_B_with_context.MOV,0.0,246.358,263.227,30.000,No focal subject,95.974,non_assembly,Not defined,STATE,59.473,66.740,7.267,video\trial_P01_T10_B_with_context.MOV,1784,2002,,,,
trial_P01_T10_B_with_context.MOV,2026-04-17 15:03:35.909,,Media file,player #1:video\trial_P01_T10_B_with_context.MOV,0.0,246.358,263.227,30.000,No focal subject,95.974,non_assembly,Not defined,STATE,79.108,130.113,51.005,video\trial_P01_T10_B_with_context.MOV,2373,3903,,,,
trial_P01_T10_B_with_context.MOV,2026-04-17 15:03:35.909,,Media file,player #1:video\trial_P01_T10_B_with_context.MOV,0.0,246.358,263.227,30.000,No focal subject,95.974,non_assembly,Not defined,STATE,179.352,185.118,5.766,video\trial_P01_T10_B_with_context.MOV,5380,5553,,,,
trial_P01_T10_B_with_context.MOV,2026-04-17 15:03:35.909,,Media file,player #1:video\trial_P01_T10_B_with_context.MOV,0.0,246.358,263.227,30.000,No focal subject,95.974,non_assembly,Not defined,STATE,251.825,259.460,7.635,video\trial_P01_T10_B_with_context.MOV,7554,7783,,,,
