Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
trial_P01_T01_B_with_context.MOV,2026-04-17 14:40:34.067,,Media file,player #1:video\trial_P01_T01_B_with_context.MOV,0.0,131.847,169.983,30.000,No focal subject,55.575,non_assembly,Not defined,STATE,2.700,20.202,17.502,video\trial_P01_T01_B_with_context.MOV,81,607,,,,
trial_P01_T01_B_with_context.MOV,2026-04-17 14:40:34.067,,Media file,player #1:video\trial_P01_T01_B_with_context.MOV,0.0,131.847,169.983,30.000,No focal subject,55.575,non_assembly,Not defined,STATE,23.935,31.537,7.602,video\trial_P01_T01_B_with_context.MOV,721,946,,,,
trial_P01_T01_B_with_context.MOV,2026-04-17 14:40:34.067,,Media file,player #1:video\trial_P01_T01_B_with_context.MOV,0.0,131.847,169.983,30.000,No focal subject,55.575,non_assembly,Not defined,STATE,85.608,92.377,6.769,video\trial_P01_T01_B_with_context.MOV,2568,2771,,,,
trial_P01_T01_B_with_context.MOV,2026-04-17 14:40:34.067,,Media file,player #1:video\trial_P01_T01_B_with_context.MOV,0.0,131.847,169.983,30.000,No focal subject,55.575,non_assembly,Not defined,STATE,110.845,134.547,23.702,video\trial_P01_T01_B_with_context.MOV,3325,4036,,,,
