Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
trial_P01_T04_B_no_context.MOV,2026-04-17 14:51:11.939,,Media file,player #1:video\trial_P01_T04_B_no_context.MOV,0.0,92.244,108.378,30.000,No focal subject,57.206,non_assembly,Not defined,STATE,5.133,15.002,9.869,video\trial_P01_T04_B_no_context.MOV,155,450,,,,
trial_P01_T04_B_no_context.MOV,2026-04-17 14:51:11.939,,Media file,player #1:video\trial_P01_T04_B_no_context.MOV,0.0,92.244,108.378,30.000,No focal subject,57.206,non_assembly,Not defined,STATE,43.505,53.172,9.667,video\trial_P01_T04_B_no_context.MOV,1305,1595,,,,
trial_P01_T04_B_no_context.MOV,2026-04-17 14:51:11.939,,Media file,player #1:video\trial_P01_T04_B_no_context.MOV,0.0,92.244,108.378,30.000,No focal subject,57.206,non_assembly,Not defined,STATE,59.707,97.377,37.670,video\trial_P01_T04_B_no_context.MOV,1791,2921,,,,
