Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
trial_P01_T08_B_no_context.MOV,2026-04-17 14:59:08.175,,Media file,player #1:video\trial_P01_T08_B_no_context.MOV,0.0,184.720,276.227,30.000,No focal subject,106.244,non_assembly,Not defined,STATE,7.933,35.437,27.504,video\trial_P01_T08_B_no_context.MOV,238,1063,,,,
trial_P01_T08_B_no_context.MOV,2026-04-17 14:59:08.175,,Media file,player #1:video\trial_P01_T08_B_no_context.MOV,0.0,184.720,276.227,30.000,No focal subject,106.244,non_assembly,Not defined,STATE,78.608,84.142,5.534,video\trial_P01_T08_B_no_context.MOV,2358,2524,,,,
trial_P01_T08_B_no_context.MOV,2026-04-17 14:59:08.175,,Media file,player #1:video\trial_P01_T08_B_no_context.MOV,0.0,184.720,276.227,30.000,No focal subject,106.244,non_assembly,Not defined,STATE,110.412,137.213,26.801,video\trial_P01_T08_B_no_context.MOV,3312,4116,,,,
trial_P01_T08_B_no_context.MOV,2026-04-17 14:59:08.175,,Media file,player #1:video\trial_P01_T08_B_no_context.MOV,0.0,184.720,276.227,30.000,No focal subject,106.244,non_assembly,Not defined,STATE,146.248,192.653,46.405,video\trial_P01_T08_B_no_context.MOV,4389,5778,,,,
