Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
trial_P01_T05_B_no_context.MOV,2026-04-17 14:47:13.464,,Media file,player #1:video\trial_P01_T05_B_no_context.MOV,0.0,163.850,212.622,30.000,No focal subject,77.474,non_assembly,Not defined,STATE,4.733,21.768,17.035,video\trial_P01_T05_B_no_context.MOV,142,653,,,,
trial_P01_T05_B_no_context.MOV,2026-04-17 14:47:13.464,,Media file,player #1:video\trial_P01_T05_B_no_context.MOV,0.0,163.850,212.622,30.000,No focal subject,77.474,non_assembly,Not defined,STATE,25.503,31.770,6.267,video\trial_P01_T05_B_no_context.MOV,765,953,,,,
trial_P01_T05_B_no_context.MOV,2026-04-17 14:47:13.464,,Media file,player #1:video\trial_P01_T05_B_no_context.MOV,0.0,163.850,212.622,30.000,No focal subject,77.474,non_assembly,Not defined,STATE,97.010,100.077,3.067,video\trial_P01_T05_B_no_context.MOV,2910,3002,,,,
trial_P01_T05_B_no_context.MOV,2026-04-17 14:47:13.464,,Media file,player #1:video\trial_P01_T05_B_no_context.MOV,0.0,163.850,212.622,30.000,No focal subject,77.474,non_assembly,Not defined,STATE,108.345,158.317,49.972,video\trial_P01_T05_B_no_context.MOV,3250,4749,,,,
trial_P01_T05_B_no_context.MOV,2026-04-17 14:47:13.464,,Media file,player #1:video\trial_P01_T05_B_no_context.MOV,0.0,163.850,212.622,30.000,No focal subject,77.474,non_assembly,Not defined,STATE,167.450,168.583,1.133,video\trial_P01_T05_B_no_context.MOV,5023,5057,,,,
