Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
trial_P01_T11_B_with_context.MOV,2026-04-17 15:07:32.181,,Media file,player #1:video\trial_P01_T11_B_with_context.MOV,0.0,225.988,249.992,30.000,No focal subject,91.344,non_assembly,Not defined,STATE,12.535,20.002,7.467,video\trial_P01_T11_B_with_context.MOV,378,600,,,,
trial_P01_T11_B_with_context.MOV,2026-04-17 15:07:32.181,,Media file,player #1:video\trial_P01_T11_B_with_context.MOV,0.0,225.988,249.992,30.000,No focal subject,91.344,non_assembly,Not defined,STATE,68.940,74.542,5.602,video\trial_P01_T11_B_with_context.MOV,2070,2236,,,,
trial_P01_T11_B_with_context.MOV,2026-04-17 15:07:32.181,,Media file,player #1:video\trial_P01_T11_B_with_context.MOV,0.0,225.988,249.992,30.000,No focal subject,91.344,non_assembly,Not defined,STATE,89.542,95.910,6.368,video\trial_P01_T11_B_with_context.MOV,2686,2877,,,,
trial_P01_T11_B_with_context.MOV,2026-04-17 15:07:32.181,,Media file,player #1:video\trial_P01_T11_B_with_context.MOV,0.0,225.988,249.992,30.000,No focal subject,91.344,non_assembly,Not defined,STATE,110.378,166.117,55.739,video\trial_P01_T11_B_with_context.MOV,3311,4984,,,,
trial_P01_T11_B_with_context.MOV,2026-04-17 15:07:32.181,,Media file,player #1:video\trial_P01_T11_B_with_context.MOV,0.0,225.988,249.992,30.000,No focal subject,91.344,non_assembly,Not defined,STATE,222.355,238.523,16.168,video\trial_P01_T11_B_with_context.MOV,6670,7156,,,,
