Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
trial_P01_T07_B_no_context.MOV,2026-04-17 14:54:28.242,,Media file,player #1:video\trial_P01_T07_B_no_context.MOV,0.0,244.925,258.192,30.000,No focal subject,84.84,non_assembly,Not defined,STATE,13.235,40.070,26.835,video\trial_P01_T07_B_no_context.MOV,397,1202,,,,
trial_P01_T07_B_no_context.MOV,2026-04-17 14:54:28.242,,Media file,player #1:video\trial_P01_T07_B_no_context.MOV,0.0,244.925,258.192,30.000,No focal subject,84.84,non_assembly,Not defined,STATE,86.642,88.242,1.600,video\trial_P01_T07_B_no_context.MOV,2599,2647,,,,
trial_P01_T07_B_no_context.MOV,2026-04-17 14:54:28.242,,Media file,player #1:video\trial_P01_T07_B_no_context.MOV,0.0,244.925,258.192,30.000,No focal subject,84.84,non_assembly,Not defined,STATE,115.345,122.878,7.533,video\trial_P01_T07_B_no_context.MOV,3460,3686,,,,
trial_P01_T07_B_no_context.MOV,2026-04-17 14:54:28.242,,Media file,player #1:video\trial_P01_T07_B_no_context.MOV,0.0,244.925,258.192,30.000,No focal subject,84.84,non_assembly,Not defined,STATE,137.813,168.917,31.104,video\trial_P01_T07_B_no_context.MOV,4133,5066,,,,
trial_P01_T07_B_no_context.MOV,2026-04-17 14:54:28.242,,Media file,player #1:video\trial_P01_T07_B_no_context.MOV,0.0,244.925,258.192,30.000,No focal subject,84.84,non_assembly,Not defined,STATE,240.392,258.160,17.768,video\trial_P01_T07_B_no_context.MOV,7210,2,,,,
