Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
trial_P01_T02_B_with_context.MOV,2026-04-17 14:42:16.775,,Media file,player #1:video\trial_P01_T02_B_with_context.MOV,0.0,133.087,208.042,29.970,No focal subject,45.252,non_assembly,Not defined,STATE,5.168,18.807,13.639,video\trial_P01_T02_B_with_context.MOV,155,564,,,,
trial_P01_T02_B_with_context.MOV,2026-04-17 14:42:16.775,,Media file,player #1:video\trial_P01_T02_B_with_context.MOV,0.0,133.087,208.042,29.970,No focal subject,45.252,non_assembly,Not defined,STATE,24.043,28.178,4.135,video\trial_P01_T02_B_with_context.MOV,721,845,,,,
trial_P01_T02_B_with_context.MOV,2026-04-17 14:42:16.775,,Media file,player #1:video\trial_P01_T02_B_with_context.MOV,0.0,133.087,208.042,29.970,No focal subject,45.252,non_assembly,Not defined,STATE,71.195,75.197,4.002,video\trial_P01_T02_B_with_context.MOV,2135,2255,,,,
trial_P01_T02_B_with_context.MOV,2026-04-17 14:42:16.775,,Media file,player #1:video\trial_P01_T02_B_with_context.MOV,0.0,133.087,208.042,29.970,No focal subject,45.252,non_assembly,Not defined,STATE,97.405,101.140,3.735,video\trial_P01_T02_B_with_context.MOV,2921,3033,,,,
trial_P01_T02_B_with_context.MOV,2026-04-17 14:42:16.775,,Media file,player #1:video\trial_P01_T02_B_with_context.MOV,0.0,133.087,208.042,29.970,No focal subject,45.252,non_assembly,Not defined,STATE,108.810,110.243,1.433,video\trial_P01_T02_B_with_context.MOV,3263,3306,,,,
trial_P01_T02_B_with_context.MOV,2026-04-17 14:42:16.775,,Media file,player #1:video\trial_P01_T02_B_with_context.MOV,0.0,133.087,208.042,29.970,No focal subject,45.252,non_assembly,Not defined,STATE,117.647,133.820,16.173,video\trial_P01_T02_B_with_context.MOV,3528,4013,,,,
trial_P01_T02_B_with_context.MOV,2026-04-17 14:42:16.775,,Media file,player #1:video\trial_P01_T02_B_with_context.MOV,0.0,133.087,208.042,29.970,No focal subject,45.252,non_assembly,Not defined,STATE,136.120,138.255,2.135,video\trial_P01_T02_B_with_context.MOV,4082,4146,,,,
