Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
trial_P01_T03_B_with_context.MOV,2026-04-17 14:57:36.381,,Media file,player #1:video\trial_P01_T03_B_with_context.MOV,0.0,130.179,207.420,30.000,No focal subject,43.038,non_assembly,Not defined,STATE,9.668,25.770,16.102,video\trial_P01_T03_B_with_context.MOV,290,774,,,,
trial_P01_T03_B_with_context.MOV,2026-04-17 14:57:36.381,,Media file,player #1:video\trial_P01_T03_B_with_context.MOV,0.0,130.179,207.420,30.000,No focal subject,43.038,non_assembly,Not defined,STATE,91.943,98.777,6.834,video\trial_P01_T03_B_with_context.MOV,2759,2965,,,,
trial_P01_T03_B_with_context.MOV,2026-04-17 14:57:36.381,,Media file,player #1:video\trial_P01_T03_B_with_context.MOV,0.0,130.179,207.420,30.000,No focal subject,43.038,non_assembly,Not defined,STATE,119.745,139.847,20.102,video\trial_P01_T03_B_with_context.MOV,3591,4194,,,,
