Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
trial_P01_T09_B_with_context.MOV,2026-04-17 15:01:13.637,,Media file,player #1:video\trial_P01_T09_B_with_context.MOV,0.0,201.587,246.923,30.000,No focal subject,113.68,non_assembly,Not defined,STATE,9.835,36.803,26.968,video\trial_P01_T09_B_with_context.MOV,295,1104,,,,
trial_P01_T09_B_with_context.MOV,2026-04-17 15:01:13.637,,Media file,player #1:video\trial_P01_T09_B_with_context.MOV,0.0,201.587,246.923,30.000,No focal subject,113.68,non_assembly,Not defined,STATE,46.205,48.272,2.067,video\trial_P01_T09_B_with_context.MOV,1386,1448,,,,
trial_P01_T09_B_with_context.MOV,2026-04-17 15:01:13.637,,Media file,player #1:video\trial_P01_T09_B_with_context.MOV,0.0,201.587,246.923,30.000,No focal subject,113.68,non_assembly,Not defined,STATE,72.340,97.177,24.837,video\trial_P01_T09_B_with_context.MOV,2170,2916,,,,
trial_P01_T09_B_with_context.MOV,2026-04-17 15:01:13.637,,Media file,player #1:video\trial_P01_T09_B_with_context.MOV,0.0,201.587,246.923,30.000,No focal subject,113.68,non_assembly,Not defined,STATE,116.978,149.215,32.237,video\trial_P01_T09_B_with_context.MOV,3509,4475,,,,
trial_P01_T09_B_with_context.MOV,2026-04-17 15:01:13.637,,Media file,player #1:video\trial_P01_T09_B_with_context.MOV,0.0,201.587,246.923,30.000,No focal subject,113.68,non_assembly,Not defined,STATE,165.883,191.220,25.337,video\trial_P01_T09_B_with_context.MOV,4975,5735,,,,
trial_P01_T09_B_with_context.MOV,2026-04-17 15:01:13.637,,Media file,player #1:video\trial_P01_T09_B_with_context.MOV,0.0,201.587,246.923,30.000,No focal subject,113.68,non_assembly,Not defined,STATE,209.188,211.422,2.234,video\trial_P01_T09_B_with_context.MOV,6274,6341,,,,
